Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Clayton Keller,UTA,RW,26,1998-07-29,Chesterfield,MO,USA,USA,70,178,2016,ARI,1,7,7
Cody Ceci,"DAL, SJS",D,31,1993-12-21,Ottawa,ON,CAN,CAN,74,210,2012,OTT,1,15,15
Cody Glass,"NJD, PIT",C,26,1999-04-01,Winnipeg,MB,CAN,CAN,75,206,2017,VGK,1,6,6
Cole Caufield,MTL,RW,24,2001-01-02,Mosinee,WI,USA,USA,67,174,2019,MTL,1,15,15
Cole Koepke,BOS,LW,26,1998-05-17,Two Harbors,MN,USA,USA,73,196,2018,T.B,6,28,183
Cole Perfetti,WPG,C,23,2002-01-01,Whitby,ON,CAN,CAN,71,184,2020,WPG,1,10,10
Cole Reinhardt,OTT,LW,25,2000-02-01,Calgary,AB,CAN,CAN,72,200,2020,OTT,6,26,181
Cole Schwindt,VGK,RW,23,2001-04-25,Kitchener,ON,CAN,CAN,74,182,2019,FLA,3,19,81
Cole Sillinger,CBJ,C,21,2003-05-16,Columbus,OH,USA,USA,73,201,2021,CBJ,1,12,12
Cole Smith,NSH,"LW, RW",29,1995-10-28,Brainerd,MN,USA,USA,75,195,-,-,-,-,-
Colin Blackwell,DAL,C,32,1993-03-28,Lawrence,MA,USA,USA,69,190,2011,S.J,7,13,193
Colin Miller,WPG,D,32,1992-10-29,Sault Ste. Marie,ON,CAN,CAN,73,200,2012,L.A,5,30,151
Colin White,SJS,C,28,1997-01-30,Boston,MA,USA,USA,73,194,2015,OTT,1,21,21
Collin Graf,SJS,RW,22,2002-09-21,,,USA,,73,194,-,-,-,-,-
Colton Dach,CHI,C,22,2003-01-04,St. Albert,AB,CAN,CAN,76,196,2021,CHI,2,30,62
Colton Parayko,STL,D,31,1993-05-12,St. Albert,AB,CAN,CAN,78,228,2012,STL,3,25,86
Colton Sissons,NSH,C,31,1993-11-05,North Vancouver,BC,CAN,CAN,73,200,2012,NSH,2,20,50
Connor Bedard,CHI,C,19,2005-07-17,,,CAN,,70,185,2023,CHI,1,1,1
Connor Brown,EDM,RW,31,1994-01-14,Toronto,ON,CAN,CAN,72,181,2012,TOR,6,5,156
Connor Clifton,BUF,D,29,1995-04-28,Long Branch,NJ,USA,USA,71,190,2013,PHX,5,12,133
Connor Dewar,"PIT, TOR",C,25,1999-06-26,Gilbert Plains,MB,CAN,CAN,70,183,2018,MIN,3,30,92
Connor Mackey,NYR,D,28,1996-09-12,Tower Lakes,IL,USA,USA,74,197,-,-,-,-,-
Connor McDavid,EDM,C,28,1997-01-13,Richmond Hill,ON,CAN,CAN,73,193,2015,EDM,1,1,1
Connor McMichael,WSH,C,24,2001-01-15,Ajax,ON,CAN,CAN,72,180,2019,WSH,1,25,25
Connor Murphy,CHI,D,32,1993-03-26,Dublin,OH,USA,USA,76,212,2011,PHX,1,20,20
Connor Zary,CGY,C,23,2001-09-25,Saskatoon,SK,CAN,CAN,72,178,2020,CGY,1,24,24
Conor Garland,VAN,RW,29,1996-03-11,Scituate,MA,USA,USA,70,165,2015,ARI,5,2,123
Conor Geekie,TBL,C,20,2004-05-05,,,CAN,,76,207,2022,ARI,1,11,11
Conor Sheary,TBL,LW,32,1992-06-08,Winchester,MA,USA,USA,69,179,-,-,-,-,-
Conor Timmins,"PIT, TOR",D,26,1998-09-18,St. Catharines,ON,CAN,CAN,74,202,2017,COL,2,1,32
Corey Perry,EDM,RW,39,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
Corey Schueneman,STL,D,29,1995-09-02,Milford,MI,USA,USA,71,197,-,-,-,-,-
Craig Smith,"CHI, DET",C,35,1989-09-05,Madison,WI,USA,USA,72,204,2009,NSH,4,7,98
Curtis Lazar,NJD,C,30,1995-02-02,Salmon Arm,BC,CAN,CAN,72,203,2013,OTT,1,17,17
Cutter Gauthier,ANA,LW,21,2004-01-19,,,SWE,,74,189,2022,PHI,1,5,5
Daemon Hunt,MIN,D,22,2002-05-15,,,CAN,,73,201,2020,MIN,3,3,65
Dakota Joshua,VAN,C,28,1996-05-15,Dearborn,MI,USA,USA,75,206,2014,TOR,5,8,128
Dakota Mermis,"TOR, UTA",D,31,1994-01-05,Alton,IL,USA,USA,72,195,-,-,-,-,-
Dalibor Dvorsky,STL,"C, RW",19,2005-06-15,,,SVK,,73,201,2023,STL,1,10,10
Damon Severson,CBJ,D,30,1994-08-07,Melville,SK,CAN,CAN,74,205,2012,N.J,2,30,60
Daniel Sprong,"NJD, SEA, VAN",RW,28,1997-03-17,Amsterdam,,NLD,NLD,72,202,2015,PIT,2,16,46
Daniil Miromanov,CGY,D,27,1997-07-11,Moscow,,RUS,RUS,76,200,-,-,-,-,-
Daniil Misyul,NJD,D,24,2000-10-20,,,BLR,,75,176,2019,N.J,3,8,70
Danil Gushchin,SJS,LW,23,2002-02-06,Yekaterinburg,,RUS,RUS,68,165,2020,S.J,3,14,76
Dante Fabbro,"CBJ, NSH",D,26,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,NSH,1,17,17
Danton Heinen,"PIT, VAN",LW,29,1995-07-05,Langley,BC,CAN,CAN,73,188,2014,BOS,4,26,116
Darnell Nurse,EDM,D,30,1995-02-04,Hamilton,ON,CAN,CAN,76,221,2013,EDM,1,7,7
Darren Raddysh,TBL,D,29,1996-02-28,Toronto,ON,CAN,CAN,73,200,-,-,-,-,-
David Gustafsson,WPG,C,25,2000-04-11,Tingsryd,,SWE,SWE,74,212,2018,WPG,2,29,60
David Jiricek,"CBJ, MIN",D,21,2003-11-28,Klatovy,,CZE,CZE,76,199,2022,CBJ,1,6,6
David Kampf,TOR,C,30,1995-01-12,Chomutov,,CZE,CZE,74,197,-,-,-,-,-
David Pastrnak,BOS,RW,28,1996-05-25,Havirov,,CZE,CZE,73,195,2014,BOS,1,25,25
David Perron,OTT,LW,36,1988-05-28,Sherbrooke,QC,CAN,CAN,73,196,2007,STL,1,26,26
David Savard,MTL,D,34,1990-10-22,St. Hyacinthe,QC,CAN,CAN,73,235,2009,CBJ,4,3,94
Dawson Mercer,NJD,C,23,2001-10-27,Carbonear,NL,CAN,CAN,72,180,2020,N.J,1,18,18
Declan Carlile,TBL,D,24,2000-05-18,,,USA,,75,192,-,-,-,-,-
Declan Chisholm,MIN,D,25,2000-01-12,Bowmanville,ON,CAN,CAN,73,185,2018,WPG,5,26,150
Dennis Cholowski,"NJD, NYI",D,27,1998-02-15,Langley,BC,CAN,CAN,74,210,2016,DET,1,20,20
Dennis Gilbert,"BUF, OTT",D,28,1996-10-30,Buffalo,NY,USA,USA,74,216,2015,CHI,3,30,91
Denton Mateychuk,CBJ,D,20,2004-07-12,,,CAN,,71,188,2022,CBJ,1,12,12
Derek Forbort,VAN,D,33,1992-03-04,Duluth,MN,USA,USA,76,208,2010,L.A,1,15,15
Derek Ryan,EDM,C,38,1986-12-29,Spokane,WA,USA,USA,70,185,-,-,-,-,-
Devin Kaplan,PHI,RW,21,2004-01-10,,,USA,,74,199,2022,PHI,3,4,69
Devin Shore,MIN,C,30,1994-07-19,Ajax,ON,CAN,CAN,73,206,2012,DAL,2,31,61
Devon Toews,COL,D,31,1994-02-21,Abbotsford,BC,CAN,CAN,73,191,2014,NYI,4,18,108
Dmitri Voronkov,CBJ,LW,24,2000-09-10,,,RUS,,77,240,2019,CBJ,4,21,114
Dmitry Kulikov,FLA,D,34,1990-10-29,Lipetsk,,RUS,RUS,73,201,2009,FLA,1,14,14
Dmitry Orlov,CAR,D,33,1991-07-23,Novokuznetsk,,RUS,RUS,71,214,2009,WSH,2,25,55
Domenick Fensore,CAR,D,23,2001-09-07,Bronxville,NY,USA,USA,67,151,2019,CAR,3,28,90
Dominic Toninato,WPG,C,31,1994-03-09,Duluth,MN,USA,USA,74,191,2012,TOR,5,5,126
Dominik Shine,DET,RW,32,1993-04-18,Pinckney,MI,USA,USA,71,188,-,-,-,-,-
Donovan Sebrango,OTT,D,23,2002-01-12,Ottawa,ON,CAN,CAN,73,194,2020,DET,3,1,63
Dougie Hamilton,NJD,D,31,1993-06-17,Toronto,ON,CAN,CAN,78,230,2011,BOS,1,9,9
Drake Batherson,OTT,RW,26,1998-04-27,Fort Wayne,IN,USA,USA,75,200,2017,OTT,4,28,121
Drake Caggiula,EDM,LW,30,1994-06-20,Pickering,ON,CAN,CAN,70,176,-,-,-,-,-
Drew Doughty,LAK,D,35,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
Drew Helleson,ANA,D,24,2001-03-26,Farmington,MN,USA,USA,75,190,2019,COL,2,16,47
Drew O'Connor,"PIT, VAN",LW,26,1998-06-09,Chatham,NJ,USA,USA,75,200,-,-,-,-,-
Dryden Hunt,CGY,LW,29,1995-11-24,Cranbrook,BC,CAN,CAN,72,193,-,-,-,-,-
Dylan Coghlan,WPG,D,27,1998-02-19,Duncan,BC,CAN,CAN,74,208,-,-,-,-,-
Dylan Cozens,"BUF, OTT",C,24,2001-02-09,Whitehorse,YT,CAN,CAN,75,195,2019,BUF,1,7,7
Dylan DeMelo,WPG,D,31,1993-05-01,London,ON,CAN,CAN,72,195,2011,S.J,6,28,179
Dylan Duke,TBL,LW,22,2003-03-04,,,USA,,70,177,2021,T.B,4,30,126
Dylan Guenther,UTA,RW,22,2003-04-10,Edmonton,AB,CAN,CAN,74,175,2021,ARI,1,9,9
Dylan Holloway,STL,LW,23,2001-09-23,Calgary,AB,CAN,CAN,73,203,2020,EDM,1,14,14
Dylan Larkin,DET,C,28,1996-07-30,Waterford,MI,USA,USA,73,198,2014,DET,1,15,15
Dylan McIlrath,WSH,D,32,1992-04-20,Winnipeg,MB,CAN,CAN,77,232,2010,NYR,1,10,10
Dylan Samberg,WPG,D,26,1999-01-24,Saginaw,MN,USA,USA,76,219,2017,WPG,2,12,43
Dylan Strome,WSH,C,28,1997-03-07,Mississauga,ON,CAN,CAN,75,200,2015,ARI,1,3,3
