Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2021-2022,Mikko Koskinen,EDM,G,43.0,51.0,21.0,55.0,28.0,33.0,1A,45,0.903,3.1,126.63,136,36,1988-07-18,FIN,FIN,79,202,2009,2,1,31,,
2021-2022,Nico Daws,NJD,G,65.0,65.0,68.0,33.0,66.0,69.0,Backup,25,0.893,3.11,55.82,66,24,2000-12-22,DEU,DEU,76,205,2020,3,22,84,,
2021-2022,Pavel Francouz,COL,G,20.0,23.0,12.0,51.0,2.0,45.0,Backup,21,0.916,2.55,50.62,51,35,1990-06-03,CZE,CSK,72,179,-,-,-,-,,
2021-2022,Petr Mrazek,TOR,G,41.0,40.0,16.0,17.0,47.0,47.0,Backup,20,0.888,3.34,43.98,58,33,1992-02-14,CZE,CZE,74,188,2010,5,21,141,,
2021-2022,Philipp Grubauer,SEA,G,47.0,55.0,23.0,36.0,53.0,34.0,Starter,55,0.889,3.16,127.62,164,33,1991-11-25,DEU,DEU,73,188,2010,4,22,112,,
2021-2022,Robin Lehner,VGK,G,11.0,27.0,3.0,45.0,7.0,18.0,1A,44,0.907,2.83,121.02,120,33,1991-07-24,SWE,SWE,76,250,2009,2,16,46,,
2021-2022,Sam Montembeault,MTL,G,67.0,64.0,64.0,63.0,64.0,56.0,1B,38,0.892,3.77,101.46,122,28,1996-10-30,CAN,CAN,75,214,2015,3,16,77,,
2021-2022,Scott Wedgewood,"ARI, DAL, NJD",G,40.0,39.0,52.0,61.0,23.0,43.0,1B,37,0.91,3.14,108.18,110,32,1992-08-14,CAN,CAN,74,205,2010,3,24,84,,
2021-2022,Semyon Varlamov,NYI,G,4.0,11.0,8.0,16.0,4.0,12.0,Backup,31,0.911,2.91,88.5,87,37,1988-04-27,RUS,RUS,74,206,2006,1,23,23,,
2021-2022,Sergei Bobrovsky,FLA,G,23.0,29.0,11.0,53.0,16.0,9.0,Starter,54,0.913,2.67,145.81,137,36,1988-09-20,RUS,RUS,74,182,-,-,-,-,,
2021-2022,Spencer Knight,FLA,G,50.0,36.0,65.0,32.0,51.0,60.0,Backup,32,0.908,2.79,77.52,81,24,2001-04-19,USA,USA,75,192,2019,1,13,13,,
2021-2022,Stuart Skinner,EDM,G,42.0,58.0,48.0,67.0,26.0,39.0,Backup,13,0.913,2.62,31.49,32,26,1998-11-01,CAN,CAN,76,206,2017,3,16,78,,
2021-2022,Thatcher Demko,VAN,G,8.0,6.0,24.0,24.0,10.0,11.0,Starter,64,0.915,2.72,173.21,168,29,1995-12-08,USA,USA,76,192,2014,2,6,36,,
2021-2022,Thomas Greiss,DET,G,55.0,46.0,66.0,57.0,48.0,27.0,Backup,31,0.891,3.66,76.27,92,39,1986-01-29,DEU,DEU,74,219,2004,3,29,94,,
2021-2022,Tristan Jarry,PIT,G,16.0,15.0,20.0,9.0,9.0,35.0,Starter,58,0.919,2.42,143.68,138,30,1995-04-29,CAN,CAN,74,194,2013,2,14,44,,
2021-2022,Ville Husso,STL,G,25.0,25.0,39.0,46.0,52.0,16.0,1B,40,0.919,2.56,113.84,100,30,1995-02-06,FIN,FIN,75,200,2014,4,4,94,,
2021-2022,Vitek Vanecek,WSH,G,45.0,31.0,33.0,34.0,32.0,58.0,1A,42,0.908,2.67,98.99,103,29,1996-01-09,CZE,CZE,74,184,2014,2,9,39,,
